item_id,name,domain,categories,location,stars
yelp_Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",yelp,"Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists","Santa Barbara, CA",5.0
yelp_mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,yelp,"Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services","Affton, MO",3.0
yelp_tUFrWirKiKi_TAnsVWINQQ,Target,yelp,"Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores","Tucson, AZ",3.5
yelp_MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,yelp,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries","Philadelphia, PA",4.0
yelp_mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,yelp,"Brewpubs, Breweries, Food","Green Lane, PA",4.5
yelp_CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,yelp,"Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants","Ashland City, TN",2.0
yelp_n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,yelp,"Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories","Brentwood, MO",2.5
yelp_qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,yelp,"Synagogues, Religious Organizations","St. Petersburg, FL",3.5
yelp_k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,yelp,"Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek","Affton, MO",3.0
yelp_bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,yelp,"Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food","Nashville, TN",1.5
yelp_UJsufbvfyfONHeWdvAHKjA,Marshalls,yelp,"Department Stores, Shopping, Fashion","Land O' Lakes, FL",3.5
yelp_eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,yelp,"Vietnamese, Food, Restaurants, Food Trucks","Tampa Bay, FL",4.0
yelp_il_Ro8jwPlHresjw9EGmBg,Denny's,yelp,"American (Traditional), Restaurants, Diners, Breakfast & Brunch","Indianapolis, IN",2.5
yelp_jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,yelp,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists","Clearwater, FL",5.0
yelp_0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,yelp,"Food, Delis, Italian, Bakeries, Restaurants","Largo, FL",4.5
yelp_MUTTqe8uqyMdBl186RmNeA,Tuna Bar,yelp,"Sushi Bars, Restaurants, Japanese","Philadelphia, PA",4.0
yelp_rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,yelp,"Automotive, Auto Parts & Supplies, Auto Customization","Tucson, AZ",4.5
yelp_M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,yelp,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping","New Orleans, LA",4.0
yelp_8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,yelp,"Automotive, Car Rental, Hotels & Travel, Truck Rental","Kenner, LA",3.5
yelp_ROeacJQwBeh05Rqg7F6TCg,BAP,yelp,"Korean, Restaurants","Philadelphia, PA",4.5
yelp_WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,yelp,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife","Edmonton, AB",4.0
yelp_qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,yelp,"Shopping, Books, Mags, Music & Video, Bookstores","Indianapolis, IN",4.0
yelp_kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,yelp,"Steakhouses, Asian Fusion, Restaurants","Indianapolis, IN",4.0
yelp_9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,yelp,"Restaurants, Italian","Reno, NV",2.5
yelp_4iRzR7OaS-QaSXuvYxEGKA,Super Dog,yelp,"Hot Dogs, Restaurants","Nashville, TN",4.0
yelp_PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,yelp,"Pet Services, Pet Groomers, Pets, Veterinarians","Newtown, PA",5.0
yelp_noByYNtDLQAra9ccqxdfDw,H&M,yelp,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion","Santa Barbara, CA",3.0
yelp_tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,yelp,"Restaurants, Japanese, Seafood","Nashville, TN",4.0
yelp_QdN72BWoyFypdGJhhI5r7g,Bar One,yelp,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants","Philadelphia, PA",4.0
yelp_sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,yelp,"Pizza, Chicken Wings, Sandwiches, Restaurants","White House, TN",3.5
yelp_fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,yelp,"Trampoline Parks, Active Life","Boise, ID",5.0
